iter	Passed	Remaining
0	130	91425
1	293	102335
2	475	110500
3	693	120683
4	864	120204
5	1031	119288
6	1187	117575
7	1370	118568
8	1595	122535
9	1789	123474
10	1968	123282
11	2158	123760
12	2405	127111
13	2579	126395
14	2757	125919
15	2949	126070
16	3191	128213
17	3374	127843
18	3547	127155
19	3738	127105
20	3976	128572
21	4141	127635
22	4313	126962
23	4469	125895
24	4626	124927
25	4779	123907
26	4933	122966
27	5085	122044
28	5261	121728
29	5459	121933
30	5614	121170
31	5786	120797
32	5972	120722
33	6150	120484
34	6309	119887
35	6462	119200
36	6627	118754
37	6779	118100
38	6959	117962
39	7138	117785
40	7303	117387
41	7507	117610
42	7729	118100
43	7928	118211
44	8101	117918
45	8287	117819
46	8481	117841
47	8671	117792
48	8876	117932
49	9044	117573
50	9216	117288
51	9395	117080
52	9556	116656
53	9728	116382
54	9923	116370
55	10100	116154
56	10276	115924
57	10449	115664
58	10611	115286
59	10786	115051
60	10947	114682
61	11121	114439
62	11282	114080
63	11447	113762
64	11629	113613
65	11776	113126
66	11960	112999
67	12122	112666
68	12276	112267
69	12429	111867
70	12576	111416
71	12735	111083
72	12901	110810
73	13045	110356
74	13270	110589
75	13425	110228
76	13575	109836
77	13732	109508
78	13894	109220
79	14048	108878
80	14199	108513
81	14334	108032
82	14491	107723
83	14634	107320
84	14788	106998
85	14949	106734
86	15083	106277
87	15239	105983
88	15483	106295
89	15676	106251
90	15832	105953
91	15993	105693
92	16153	105431
93	16309	105141
94	16469	104886
95	16658	104811
96	16823	104581
97	16973	104264
98	17131	104002
99	17292	103756
100	17454	103519
101	17602	103197
102	17737	102810
103	17885	102498
104	18031	102180
105	18180	101880
106	18349	101695
107	18510	101464
108	18675	101256
109	18806	100872
110	18965	100636
111	19114	100352
112	19277	100139
113	19458	100021
114	19631	99862
115	19825	99813
116	20009	99704
117	20163	99448
118	20320	99214
119	20538	99271
120	20721	99154
121	20929	99158
122	21119	99073
123	21293	98912
124	21448	98661
125	21594	98373
126	21768	98215
127	21918	97949
128	22099	97820
129	22271	97652
130	22449	97508
131	22655	97487
132	22858	97449
133	23035	97300
134	23207	97126
135	23363	96890
136	23503	96587
137	23657	96342
138	23803	96068
139	23954	95818
140	24115	95607
141	24248	95287
142	24388	94995
143	24544	94770
144	24694	94520
145	24839	94255
146	24965	93917
147	25110	93654
148	25251	93380
149	25403	93147
150	25555	92913
151	25708	92685
152	25863	92465
153	26000	92183
154	26161	91988
155	26335	91835
156	26483	91597
157	26633	91363
158	26778	91112
159	26950	90957
160	27107	90752
161	27253	90508
162	27439	90399
163	27621	90274
164	27780	90077
165	27928	89843
166	28077	89611
167	28226	89382
168	28366	89127
169	28511	88889
170	28661	88665
171	28814	88455
172	28954	88202
173	29097	87962
174	29247	87742
175	29381	87475
176	29517	87219
177	29671	87014
178	29827	86817
179	29981	86613
180	30130	86395
181	30279	86180
182	30461	86057
183	30619	85867
184	30759	85628
185	30907	85410
186	31071	85240
187	31238	85074
188	31402	84903
189	31562	84719
190	31727	84550
191	31921	84457
192	32090	84300
193	32238	84086
194	32396	83899
195	32573	83760
196	32721	83548
197	32892	83393
198	33073	83264
199	33244	83111
200	33470	83094
201	33726	83147
202	33936	83086
203	34115	82946
204	34293	82805
205	34450	82614
206	34619	82451
207	34779	82267
208	34948	82104
209	35153	82025
210	35319	81855
211	35508	81737
212	35723	81678
213	35979	81709
214	36137	81520
215	36302	81345
216	36487	81213
217	36690	81123
218	36856	80949
219	37013	80756
220	37177	80579
221	37327	80372
222	37484	80179
223	37658	80023
224	37805	79812
225	37953	79601
226	38089	79367
227	38239	79162
228	38393	78967
229	38553	78782
230	38710	78593
231	38889	78448
232	39038	78245
233	39195	78056
234	39341	77846
235	39478	77619
236	39656	77471
237	39805	77269
238	39952	77062
239	40113	76884
240	40249	76658
241	40390	76441
242	40535	76233
243	40675	76015
244	40818	75805
245	40977	75624
246	41117	75408
247	41255	75191
248	41399	74984
249	41536	74764
250	41683	74565
251	41833	74370
252	42008	74221
253	42182	74067
254	42337	73882
255	42491	73696
256	42640	73501
257	42809	73340
258	42980	73183
259	43133	72994
260	43271	72781
261	43411	72573
262	43548	72359
263	43698	72168
264	43855	71989
265	44025	71831
266	44180	71648
267	44349	71489
268	44550	71380
269	44756	71278
270	44918	71106
271	45069	70917
272	45234	70751
273	45395	70578
274	45550	70396
275	45697	70201
276	45848	70013
277	45997	69823
278	46151	69640
279	46313	69469
280	46496	69331
281	46652	69151
282	46803	68964
283	46976	68810
284	47134	68634
285	47286	68449
286	47443	68272
287	47594	68086
288	47737	67890
289	47903	67726
290	48059	67547
291	48206	67356
292	48452	67304
293	48624	67147
294	48766	66950
295	48923	66773
296	49069	66582
297	49226	66406
298	49391	66240
299	49549	66065
300	49697	65878
301	49856	65704
302	49996	65506
303	50179	65365
304	50322	65171
305	50471	64986
306	50629	64812
307	50788	64639
308	50994	64526
309	51165	64369
310	51323	64195
311	51524	64074
312	51673	63890
313	51831	63715
314	51995	63550
315	52159	63383
316	52309	63200
317	52480	63042
318	52650	62883
319	52843	62752
320	53015	62594
321	53185	62435
322	53334	62251
323	53512	62101
324	53718	61982
325	53913	61851
326	54079	61686
327	54239	61515
328	54417	61364
329	54612	61232
330	54779	61068
331	54941	60898
332	55099	60725
333	55263	60558
334	55414	60376
335	55561	60191
336	55716	60015
337	55937	59909
338	56107	59748
339	56289	59600
340	56460	59441
341	56611	59259
342	56788	59105
343	56942	58929
344	57098	58753
345	57252	58576
346	57415	58408
347	57597	58259
348	57766	58097
349	57932	57932
350	58089	57758
351	58246	57584
352	58398	57406
353	58574	57251
354	58756	57101
355	58930	56944
356	59086	56769
357	59241	56593
358	59393	56415
359	59583	56273
360	59768	56126
361	59946	55972
362	60118	55812
363	60278	55641
364	60431	55464
365	60582	55285
366	60734	55108
367	60895	54938
368	61068	54779
369	61219	54600
370	61366	54419
371	61524	54247
372	61746	54131
373	61916	53969
374	62083	53805
375	62236	53629
376	62384	53448
377	62535	53271
378	62722	53123
379	62889	52959
380	63046	52786
381	63201	52612
382	63359	52441
383	63514	52267
384	63658	52084
385	63816	51913
386	63985	51750
387	64149	51584
388	64307	51413
389	64450	51230
390	64605	51056
391	64749	50874
392	64905	50701
393	65067	50535
394	65216	50356
395	65350	50167
396	65500	49991
397	65637	49805
398	65796	49636
399	65949	49462
400	66098	49285
401	66253	49112
402	66422	48951
403	66583	48784
404	66742	48614
405	66900	48445
406	67058	48275
407	67208	48100
408	67360	47926
