iter	RMSE
0	3.868352058
1	3.860176265
2	3.853021262
3	3.845816495
4	3.839261637
5	3.833111692
6	3.826969433
7	3.820825706
8	3.814963684
9	3.809465057
10	3.804301607
11	3.799392322
12	3.794710661
13	3.790061483
14	3.785902077
15	3.781569632
16	3.777540413
17	3.773318784
18	3.769571968
19	3.765975229
20	3.762339963
21	3.759182319
22	3.756158925
23	3.753206522
24	3.750104555
25	3.747180066
26	3.744407884
27	3.741956574
28	3.739682825
29	3.736927227
30	3.734205961
31	3.731790374
32	3.7294518
33	3.727257046
34	3.725369053
35	3.723375493
36	3.721258189
37	3.719228416
38	3.717312579
39	3.715110437
40	3.71325782
41	3.711326009
42	3.709570372
43	3.7075549
44	3.705691793
45	3.704313801
46	3.702803047
47	3.70092531
48	3.699396518
49	3.698154129
50	3.696319954
51	3.694635212
52	3.693036604
53	3.691516484
54	3.690095667
55	3.688711246
56	3.687345999
57	3.685856442
58	3.684560274
59	3.683584626
60	3.682403265
61	3.68113077
62	3.679987966
63	3.678842476
64	3.677868635
65	3.676736111
66	3.675732191
67	3.674934472
68	3.67371724
69	3.672763038
70	3.671821026
71	3.671011185
72	3.670303934
73	3.669353396
74	3.668362467
75	3.667371138
76	3.666625868
77	3.665707198
78	3.664817565
79	3.663743023
80	3.663034649
81	3.662115852
82	3.660762129
83	3.660308277
84	3.65916444
85	3.658448439
86	3.657767757
87	3.656691704
88	3.65583269
89	3.655067169
90	3.654258035
91	3.653590387
92	3.653127847
93	3.652472825
94	3.651749296
95	3.651149898
96	3.650634175
97	3.649777198
98	3.649274514
99	3.648494635
100	3.647793256
101	3.6468147
102	3.646274794
103	3.645285725
104	3.644612033
105	3.64401367
106	3.643405153
107	3.642553418
108	3.642150948
109	3.641685381
110	3.640933861
111	3.640459644
112	3.640042294
113	3.639470714
114	3.638933607
115	3.638320221
116	3.637781156
117	3.637087386
118	3.6366814
119	3.636337365
120	3.635807423
121	3.635153612
122	3.634647758
123	3.634244427
124	3.633782553
125	3.633341959
126	3.632910242
127	3.632347409
128	3.631614605
129	3.631185699
130	3.630882686
131	3.630378934
132	3.629782647
133	3.629291033
134	3.628970802
135	3.628302213
136	3.627384538
137	3.627035827
138	3.626591266
139	3.6261204
140	3.625253244
141	3.624849933
142	3.624382209
143	3.62355723
144	3.623159534
145	3.622859678
146	3.622574892
147	3.622241166
148	3.62189439
149	3.621281306
150	3.620884394
151	3.620340709
152	3.619862626
153	3.619499545
154	3.618798563
155	3.618412238
156	3.617926195
157	3.617377708
158	3.616982823
159	3.616339928
160	3.615653766
161	3.615437912
162	3.61492664
163	3.614197446
164	3.613603603
165	3.613197972
166	3.612722098
167	3.611868249
168	3.611492315
169	3.611094839
170	3.610593851
171	3.610010457
172	3.609693789
173	3.609271312
174	3.608408332
175	3.607927566
176	3.607534271
177	3.606985957
178	3.606064201
179	3.60564676
180	3.604978338
181	3.604470336
182	3.604002878
183	3.603565723
184	3.602942192
185	3.602357185
186	3.601944229
187	3.601733496
188	3.601286161
189	3.600698374
190	3.60027006
191	3.599543967
192	3.599220559
193	3.598835777
194	3.598497872
195	3.5977423
196	3.597320948
197	3.597033838
198	3.596636993
199	3.596338813
200	3.595957685
201	3.595186018
202	3.594753062
203	3.594372148
204	3.593965661
205	3.5932914
206	3.592917241
207	3.592490023
208	3.592239587
209	3.591374582
210	3.590911411
211	3.590540981
212	3.589905544
213	3.589673669
214	3.589428744
215	3.589234546
216	3.588615577
217	3.588147845
218	3.588002456
219	3.587471143
220	3.586753771
221	3.586483922
222	3.58572612
223	3.585288335
224	3.5849563
225	3.584595201
226	3.584184385
227	3.583764315
228	3.58337247
229	3.582882803
230	3.582467893
231	3.581801406
232	3.581346641
233	3.580815038
234	3.580622475
235	3.580352718
236	3.5796617
237	3.579178249
238	3.578854159
239	3.578593412
240	3.578376362
241	3.577994855
242	3.577710907
243	3.577325572
244	3.576900555
245	3.576273545
246	3.57582223
247	3.575345444
248	3.574907646
249	3.574590046
250	3.574300636
251	3.573776307
252	3.573354597
253	3.573064397
254	3.57268274
255	3.572023003
256	3.571731918
257	3.571245279
258	3.570927592
259	3.570700051
260	3.5703557
261	3.570054643
262	3.569371907
263	3.569171547
264	3.5686058
265	3.568146673
266	3.567741754
267	3.567543702
268	3.567323877
269	3.566721019
270	3.566521795
271	3.566103181
272	3.565833175
273	3.565481502
274	3.56515314
275	3.564856889
276	3.564515527
277	3.564142323
278	3.563516911
279	3.563069136
280	3.56232614
281	3.562104401
282	3.561713499
283	3.561187896
284	3.560638252
285	3.560250947
286	3.559663527
287	3.559395787
288	3.559176672
289	3.558724179
290	3.558486726
291	3.558075273
292	3.557241556
293	3.556661804
294	3.556319611
295	3.555852393
296	3.555630503
297	3.555335847
298	3.555049425
299	3.554851504
300	3.554454573
301	3.554150304
302	3.553857434
303	3.55352504
304	3.553088541
305	3.552584697
306	3.552239909
307	3.551749009
308	3.55122125
309	3.550998419
310	3.550836285
311	3.549814527
312	3.54963761
313	3.549257405
314	3.548498087
315	3.548177235
316	3.547834521
317	3.547637391
318	3.547257352
319	3.546889507
320	3.546595088
321	3.546327966
322	3.546027545
323	3.545155632
324	3.544597076
325	3.544095538
326	3.543619095
327	3.543311098
328	3.542800467
329	3.542422192
330	3.541986312
331	3.541604183
332	3.541370936
333	3.54106244
334	3.540862871
335	3.540534925
336	3.540362049
337	3.540097738
338	3.539756704
339	3.539561169
340	3.539149934
341	3.538853887
342	3.538369776
343	3.538060208
344	3.537781725
345	3.537508678
346	3.53723074
347	3.53706328
348	3.53663352
349	3.536342346
350	3.536055704
351	3.535692651
352	3.535041399
353	3.534747009
354	3.534168957
355	3.533893203
356	3.533602911
357	3.533265666
358	3.532961052
359	3.532730363
360	3.532431644
361	3.531997524
362	3.531655085
363	3.530832389
364	3.530518927
365	3.530389429
366	3.530190178
367	3.530008566
368	3.529582078
369	3.529338943
370	3.52867647
371	3.528285536
372	3.528013955
373	3.527870917
374	3.527624981
375	3.527141348
376	3.526899498
377	3.526478903
378	3.525899279
379	3.525580283
380	3.525300043
381	3.525093251
382	3.524762992
383	3.52440273
384	3.524158466
385	3.523910393
386	3.523662199
387	3.52319603
388	3.522985841
389	3.522744423
390	3.522375055
391	3.521995873
392	3.521718013
393	3.521194621
394	3.520989183
395	3.520710726
396	3.52034487
397	3.519997617
398	3.519712576
399	3.519102387
400	3.518944795
401	3.518601918
402	3.518174111
403	3.517696974
404	3.517272556
405	3.516869261
406	3.516635984
407	3.516193251
408	3.515747086
