iter	Passed	Remaining
0	121	85195
1	265	92800
2	411	95522
3	551	95924
4	695	96663
5	832	96291
6	973	96376
7	1108	95846
8	1252	96176
9	1395	96271
10	1531	95913
11	1668	95685
12	1808	95561
13	1944	95268
14	2082	95096
15	2238	95682
16	2376	95463
17	2512	95187
18	2660	95351
19	2800	95214
20	2945	95238
21	3084	95044
22	3234	95192
23	3373	95014
24	3519	95023
25	3653	94698
26	3786	94375
27	3931	94353
28	4075	94292
29	4229	94460
30	4375	94431
31	4515	94262
32	4658	94159
33	4798	93994
34	4937	93811
35	5077	93659
36	5223	93605
37	5369	93538
38	5507	93337
39	5641	93085
40	5777	92862
41	5916	92685
42	6048	92419
43	6201	92453
44	6340	92293
45	6471	92007
46	6604	91755
47	6749	91680
48	6887	91506
49	7020	91264
50	7166	91195
51	7302	90997
52	7442	90860
53	7574	90612
54	7712	90449
55	7867	90481
56	8026	90544
57	8187	90625
58	8357	90800
59	8508	90753
60	8659	90711
61	8800	90561
62	8944	90442
63	9090	90334
64	9249	90363
65	9387	90177
66	9528	90019
67	9665	89833
68	9809	89706
69	9953	89578
70	10086	89359
71	10237	89291
72	10373	89102
73	10503	88852
74	10640	88669
75	10784	88548
76	10927	88411
77	11060	88203
78	11215	88165
79	11354	87996
80	11500	87884
81	11633	87673
82	11772	87513
83	11901	87276
84	12038	87101
85	12189	87030
86	12331	86885
87	12473	86748
88	12610	86571
89	12743	86374
90	12880	86196
91	13016	86024
92	13146	85808
93	13291	85688
94	13431	85540
95	13558	85302
96	13692	85122
97	13819	84891
98	13956	84728
99	14084	84505
100	14235	84427
101	14371	84253
102	14505	84075
103	14642	83910
104	14770	83700
105	14898	83490
106	15039	83348
107	15193	83282
108	15320	83066
109	15452	82882
110	15598	82769
111	15726	82564
112	15853	82352
113	15982	82158
114	16117	81989
115	16262	81873
116	16392	81683
117	16521	81488
118	16655	81315
119	16784	81126
120	16917	80953
121	17060	80826
122	17203	80704
123	17345	80570
124	17477	80398
125	17606	80205
126	17751	80092
127	17888	79937
128	18016	79749
129	18162	79633
130	18306	79514
131	18459	79430
132	18590	79252
133	18726	79096
134	18861	78939
135	19007	78825
136	19145	78677
137	19374	78902
138	19531	78830
139	19666	78665
140	19806	78521
141	19943	78370
142	20081	78218
143	20227	78101
144	20359	77927
145	20500	77789
146	20624	77585
147	20756	77414
148	20882	77222
149	21018	77067
150	21142	76870
151	21274	76701
152	21411	76550
153	21554	76419
154	21683	76243
155	21822	76098
156	21959	75947
157	22089	75776
158	22225	75622
159	22353	75443
160	22488	75288
161	22626	75143
162	22755	74967
163	22882	74788
164	23025	74657
165	23172	74544
166	23304	74378
167	23437	74218
168	23589	74118
169	23728	73977
170	23856	73801
171	23991	73647
172	24120	73477
173	24255	73324
174	24390	73171
175	24520	73003
176	24660	72865
177	24794	72711
178	24918	72529
179	25061	72399
180	25222	72321
181	25354	72163
182	25500	72042
183	25643	71914
184	25781	71768
185	25909	71600
186	26051	71467
187	26190	71327
188	26307	71126
189	26441	70974
190	26570	70808
191	26699	70643
192	26833	70490
193	26970	70345
194	27098	70177
195	27231	70022
196	27367	69876
197	27498	69718
198	27634	69572
199	27772	69430
200	27909	69287
201	28042	69134
202	28173	68975
203	28307	68825
204	28436	68664
205	28567	68507
206	28700	68354
207	28828	68191
208	28955	68023
209	29084	67863
210	29223	67725
211	29367	67599
212	29515	67484
213	29648	67332
214	29775	67166
215	29904	67008
216	30090	66974
217	30241	66864
218	30378	66722
219	30512	66572
220	30656	66445
221	30807	66333
222	30975	66257
223	31190	66280
224	31360	66206
225	31568	66209
226	31701	66056
227	31837	65910
228	31981	65777
229	32182	65763
230	32330	65641
231	32478	65516
232	32656	65453
233	32793	65305
234	32932	65164
235	33114	65106
236	33263	64983
237	33416	64867
238	33592	64795
239	33734	64658
240	33896	64558
241	34082	64502
242	34237	64388
243	34426	64337
244	34577	64214
245	34713	64064
246	34912	64029
247	35071	63919
248	35250	63846
249	35452	63815
250	35599	63682
251	35780	63610
252	35940	63498
253	36095	63379
254	36245	63252
255	36411	63151
256	36563	63025
257	36716	62902
258	36863	62767
259	37025	62658
260	37223	62610
261	37377	62486
262	37512	62330
263	37752	62348
264	37904	62220
265	38072	62117
266	38348	62189
267	38494	62051
268	38656	61937
269	38795	61785
270	38947	61654
271	39098	61522
272	39249	61390
273	39383	61230
274	39522	61080
275	39651	60914
276	39794	60769
277	39931	60615
278	40077	60474
279	40229	60344
280	40373	60200
281	40514	60053
282	40661	59915
283	40809	59777
284	40972	59661
285	41117	59519
286	41261	59375
287	41400	59225
288	41542	59079
289	41679	58925
290	41828	58789
291	41953	58619
292	42091	58468
293	42226	58312
294	42371	58170
295	42498	58004
296	42634	57851
297	42775	57703
298	42931	57576
299	43082	57443
300	43266	57353
301	43423	57227
302	43582	57102
303	43720	56952
304	43867	56811
305	44012	56669
306	44156	56526
307	44308	56392
308	44476	56279
309	44660	56186
310	44855	56105
