iter	Passed	Remaining
399	57736	43302
400	57866	43147
401	58000	42995
402	58118	42831
403	58252	42679
404	58383	42526
405	58514	42372
406	58640	42215
407	58773	42063
408	58906	41911
409	59061	41775
410	59191	41621
411	59326	41471
412	59448	41311
413	59592	41168
414	59723	41015
415	59853	40861
416	59979	40705
417	60123	40561
418	60255	40410
419	60395	40263
420	60533	40115
421	60669	39967
422	60794	39810
423	60927	39660
424	61055	39506
425	61191	39357
426	61319	39204
427	61446	39050
428	61577	38898
429	61718	38753
430	61845	38599
431	61975	38447
432	62100	38292
433	62237	38145
434	62370	37995
435	62504	37846
436	62647	37703
437	62775	37550
438	62896	37394
439	63035	37248
440	63166	37097
441	63295	36946
442	63418	36791
443	63558	36646
444	63690	36496
445	63822	36347
446	63954	36198
447	64096	36054
448	64230	35905
449	64373	35763
450	64507	35615
451	64652	35472
452	64794	35329
453	64939	35187
454	65086	35046
455	65239	34909
456	65401	34775
457	65559	34640
458	65699	34495
459	65842	34352
460	65981	34207
461	66112	34057
462	66241	33907
463	66380	33762
464	66511	33613
465	66655	33470
466	66778	33317
467	66913	33170
468	67045	33022
469	67183	32876
470	67312	32727
471	67450	32582
472	67597	32441
473	67739	32297
474	67870	32149
475	68003	32001
476	68123	31847
477	68257	31701
478	68392	31554
479	68548	31418
480	68676	31268
481	68809	31121
482	68936	30971
483	69083	30830
484	69213	30682
485	69350	30536
486	69482	30389
487	69614	30242
488	69742	30093
489	69882	29949
490	70003	29797
491	70132	29649
492	70260	29500
493	70399	29356
494	70543	29214
495	70732	29091
496	70866	28945
497	71001	28799
498	71135	28653
499	71267	28506
500	71425	28370
501	71579	28232
502	71735	28095
503	71870	27949
504	72003	27803
505	72138	27657
506	72274	27512
507	72422	27372
508	72564	27229
509	72719	27091
510	72877	26954
511	73018	26811
512	73159	26668
513	73315	26530
514	73441	26381
515	73574	26235
516	73693	26084
517	73826	25939
518	73960	25793
519	74101	25650
520	74250	25510
521	74394	25368
522	74541	25227
523	74688	25086
524	74815	24938
525	74949	24793
526	75075	24645
527	75200	24496
528	75322	24347
529	75468	24206
530	75594	24059
531	75730	23914
532	75864	23769
533	76035	23636
534	76184	23496
535	76341	23358
536	76485	23216
537	76629	23074
538	76752	22926
539	76900	22785
540	77050	22645
541	77199	22504
542	77327	22358
543	77476	22217
544	77615	22074
545	77750	21929
546	77883	21784
547	78027	21642
548	78157	21496
549	78298	21354
550	78453	21215
551	78604	21075
552	78729	20928
553	78870	20785
554	78995	20638
555	79134	20495
556	79267	20350
557	79423	20211
558	79565	20069
559	79709	19927
560	79865	19788
561	80018	19648
562	80162	19506
563	80313	19366
564	80451	19222
565	80598	19081
566	80735	18937
567	80873	18794
568	81012	18651
569	81164	18511
570	81293	18365
571	81444	18225
572	81576	18080
573	81716	17937
574	81845	17792
575	82002	17653
576	82135	17508
577	82265	17364
578	82405	17221
579	82556	17080
580	82688	16936
581	82832	16794
582	82970	16651
583	83155	16517
584	83327	16380
585	83501	16244
586	83655	16103
587	83801	15962
588	83961	15822
589	84160	15691
590	84328	15552
591	84475	15411
592	84673	15278
593	84854	15142
594	85036	15006
595	85202	14867
596	85328	14721
597	85496	14583
598	85693	14449
599	85874	14312
600	86012	14168
601	86187	14030
602	86334	13888
603	86503	13748
604	86655	13607
605	86791	13462
606	86915	13316
607	87051	13172
608	87180	13027
609	87314	12882
610	87457	12739
611	87593	12595
612	87720	12449
613	87854	12305
614	87990	12161
615	88120	12016
616	88262	11873
617	88393	11728
618	88520	11583
619	88650	11438
620	88789	11295
621	88918	11150
622	89045	11005
623	89188	10862
624	89314	10717
625	89434	10572
626	89569	10428
627	89695	10283
628	89831	10140
629	89960	9995
630	90095	9851
631	90223	9707
632	90348	9562
633	90494	9420
634	90625	9276
635	90749	9132
636	90883	8988
637	91016	8844
638	91150	8701
639	91292	8558
640	91420	8414
641	91555	8271
642	91694	8128
643	91828	7985
644	91966	7842
645	92099	7698
646	92236	7555
647	92375	7412
648	92506	7269
649	92641	7126
650	92775	6983
651	92918	6840
652	93056	6697
653	93208	6555
654	93353	6413
655	93504	6271
656	93634	6128
657	93773	5985
658	93917	5843
659	94050	5700
660	94182	5556
661	94312	5413
662	94449	5270
663	94606	5129
664	94746	4986
665	94886	4844
666	95021	4701
667	95175	4559
668	95312	4416
669	95456	4274
670	95584	4131
671	95716	3988
672	95867	3846
673	96022	3704
674	96173	3561
675	96319	3419
676	96463	3277
677	96605	3134
678	96745	2992
679	96881	2849
680	97017	2706
681	97168	2564
682	97324	2422
683	97472	2280
684	97738	2140
685	97914	1998
686	98060	1855
687	98195	1712
688	98353	1570
689	98502	1427
690	98651	1284
691	98777	1141
