iter	RMSE
0	3.872702688
1	3.868664082
2	3.864496098
3	3.860347998
4	3.856308227
5	3.852631438
6	3.848850875
7	3.845551797
8	3.841801995
9	3.838153041
10	3.834464412
11	3.830784342
12	3.827721871
13	3.824231767
14	3.820960733
15	3.817750094
16	3.814720437
17	3.811619667
18	3.808926212
19	3.806004668
20	3.803205824
21	3.800447762
22	3.797794824
23	3.795213335
24	3.792842922
25	3.790409634
26	3.787888629
27	3.785530106
28	3.783276342
29	3.780753122
30	3.778359193
31	3.776150266
32	3.774092689
33	3.771894914
34	3.769787402
35	3.767720703
36	3.765525368
37	3.763498373
38	3.76166761
39	3.759755683
40	3.757747581
41	3.755778889
42	3.75387978
43	3.7520697
44	3.750235282
45	3.748441481
46	3.746606587
47	3.744965785
48	3.743255186
49	3.74145546
50	3.739813911
51	3.738134974
52	3.736488682
53	3.73516037
54	3.733748671
55	3.732204521
56	3.730559348
57	3.729045257
58	3.727602914
59	3.726239321
60	3.72503661
61	3.723774685
62	3.722410468
63	3.720987925
64	3.719658272
65	3.718391349
66	3.717317683
67	3.7159266
68	3.714845574
69	3.713609361
70	3.712248788
71	3.710925849
72	3.709629421
73	3.708243609
74	3.707183496
75	3.706048083
76	3.704902964
77	3.703611865
78	3.702701788
79	3.70174084
80	3.700855096
81	3.699667263
82	3.6986969
83	3.697583841
84	3.696636421
85	3.695646054
86	3.694649811
87	3.693672236
88	3.69282369
89	3.691811062
90	3.690995564
91	3.689982085
92	3.688954163
93	3.687921446
94	3.686922919
95	3.68616551
96	3.685295549
97	3.68454821
98	3.6836155
99	3.68286727
100	3.6818684
101	3.680932702
102	3.680310122
103	3.679441093
104	3.678664669
105	3.678000852
106	3.677008177
107	3.676023455
108	3.675340142
109	3.674659661
110	3.673759062
111	3.673065834
112	3.672292198
113	3.671407361
114	3.670568618
115	3.66962011
116	3.668817873
117	3.668087537
118	3.667371218
119	3.666903788
120	3.665924759
121	3.665398464
122	3.664719259
123	3.664088332
124	3.663666752
125	3.66289581
126	3.662210425
127	3.661373473
128	3.660685161
129	3.66011612
130	3.659404386
131	3.658824962
132	3.65810806
133	3.657402093
134	3.656505114
135	3.656077938
136	3.655578439
137	3.654882942
138	3.654181754
139	3.653379472
140	3.652853921
141	3.65206258
142	3.651522347
143	3.650890724
144	3.650216351
145	3.649545324
146	3.648800935
147	3.648242501
148	3.647524737
149	3.646952238
150	3.646489816
151	3.6460689
152	3.645565364
153	3.644977975
154	3.644618329
155	3.644160812
156	3.643262605
157	3.642763123
158	3.6423445
159	3.641804726
160	3.641256379
161	3.640803634
162	3.640406711
163	3.639882643
164	3.639406585
165	3.63898191
166	3.638724758
167	3.638398114
168	3.6380247
169	3.637536349
170	3.637128746
171	3.636757669
172	3.636226705
173	3.635918636
174	3.63564161
175	3.635286479
176	3.634674217
177	3.634284036
178	3.633888193
179	3.633299199
180	3.632945762
181	3.632650687
182	3.632224784
183	3.631919968
184	3.631732342
185	3.631379604
186	3.630914907
187	3.630696965
188	3.630136292
189	3.629487899
190	3.629186247
191	3.628792578
192	3.628375157
193	3.628192649
194	3.627760696
195	3.627320257
196	3.626991569
197	3.626615828
198	3.626401671
199	3.625961241
200	3.625557251
201	3.625062164
202	3.624698238
203	3.624355975
204	3.62390888
205	3.623661262
206	3.623174895
207	3.622905174
208	3.622636821
209	3.622413007
210	3.622000535
211	3.621732949
212	3.621371862
213	3.621096522
214	3.62073319
215	3.620285519
216	3.61982895
217	3.619524337
218	3.619313268
219	3.61901126
220	3.61872124
221	3.618293672
222	3.617922804
223	3.617587866
224	3.617332784
225	3.616982703
226	3.616659396
227	3.616231472
228	3.616040357
229	3.61563712
230	3.615093411
231	3.614819863
232	3.614252039
233	3.613733519
234	3.613542554
235	3.613315176
236	3.613060621
237	3.612780148
238	3.61241324
239	3.612075622
240	3.611908072
241	3.611521101
242	3.611198048
243	3.610957999
244	3.610423024
245	3.609985645
246	3.609819023
247	3.609506332
248	3.608896138
249	3.608458476
250	3.608193519
251	3.607808076
252	3.607526565
253	3.607369851
254	3.607010508
255	3.606625926
256	3.606456774
257	3.606130278
258	3.605849786
259	3.60561184
260	3.605443746
261	3.604925214
262	3.604672127
263	3.604353126
264	3.604097749
265	3.60377909
266	3.603312781
267	3.602975269
268	3.602631346
269	3.602440776
270	3.601955542
271	3.601412635
272	3.601206555
273	3.60099428
274	3.600759085
275	3.600459315
276	3.59987016
277	3.599376094
278	3.599049388
279	3.598809433
280	3.598320524
281	3.597827821
282	3.597424339
283	3.597093818
284	3.596931913
285	3.596559114
286	3.596217368
287	3.595749042
288	3.595401106
289	3.595100876
290	3.594857755
291	3.594696094
292	3.594304468
293	3.59393372
294	3.593763777
295	3.593475603
296	3.593310094
297	3.593053928
298	3.592847744
299	3.592629283
300	3.592227909
301	3.591988008
302	3.591665579
303	3.591339077
304	3.591052575
305	3.590576371
306	3.59030926
307	3.589767133
308	3.589623404
309	3.589384043
310	3.588925362
311	3.588697527
312	3.588325072
313	3.588168882
314	3.587927599
315	3.587695336
316	3.587583299
317	3.587086424
318	3.586864509
319	3.586579873
320	3.586329492
321	3.585934496
322	3.585669698
323	3.585452166
324	3.584784281
325	3.5843231
326	3.584119281
327	3.583824999
328	3.583505757
329	3.583189357
330	3.582891375
331	3.582672134
332	3.582479732
333	3.582011629
334	3.581869366
335	3.581549711
336	3.581404554
337	3.581226088
338	3.581019613
339	3.580802132
340	3.580620322
341	3.5802997
342	3.579878819
343	3.579638988
344	3.57951474
345	3.579335661
346	3.57918145
347	3.578561349
348	3.578135524
349	3.577766706
350	3.577488253
351	3.577318098
352	3.576919762
353	3.576531854
354	3.576043403
355	3.575839324
356	3.57559579
357	3.575273624
358	3.575094506
359	3.574767781
360	3.574253533
361	3.573927386
362	3.573614532
363	3.573343439
364	3.572989768
365	3.572866519
366	3.572663952
367	3.572443524
368	3.572088813
369	3.571708623
370	3.57139701
371	3.571198098
372	3.570988653
373	3.570789239
374	3.570232228
375	3.570005041
376	3.569775101
377	3.569545745
378	3.569177874
379	3.568846016
380	3.568456624
381	3.568245506
382	3.568097129
383	3.567818119
384	3.567470491
385	3.567023584
386	3.566631225
387	3.56628878
388	3.566114991
389	3.565891284
390	3.565467512
391	3.565194593
392	3.565080433
393	3.564805169
394	3.564585534
395	3.564326036
396	3.563977046
397	3.563466858
398	3.563201178
399	3.562853659
400	3.562572071
401	3.562348903
402	3.562164815
403	3.562003212
404	3.561584409
405	3.561322493
406	3.560969972
407	3.560661103
408	3.560408706
409	3.560067789
410	3.559839898
411	3.55937921
412	3.559243245
413	3.559124543
414	3.559011364
415	3.558770965
416	3.558584013
417	3.558327663
418	3.558151409
419	3.557949764
